Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Kansas,US,2020-04-29 02:32:29,15,0,0,37.78134351,-96.83878537
Kentucky,US,2020-04-29 02:32:29,113,3,0,37.20946153,-86.68748787
Missouri,US,2020-04-29 02:32:29,26,0,0,36.71462476,-90.40421163
Nebraska,US,2020-04-29 02:32:29,2,0,0,41.22703692,-97.13106306
Ohio,US,2020-04-29 02:32:29,254,5,0,39.44012838,-84.57388716
Pennsylvania,US,2020-04-29 02:32:29,174,6,0,40.91152759,-79.91351055
California,US,2020-04-29 02:32:29,16,0,0,39.66727762,-121.6005252
South Dakota,US,2020-04-29 02:32:29,0,0,0,44.90608745,-103.5079318
Georgia,US,2020-04-29 02:32:29,129,3,0,33.2830945,-83.9543504
North Carolina,US,2020-04-29 02:32:29,275,10,0,35.3877799,-80.55267168
West Virginia,US,2020-04-29 02:32:29,41,0,0,38.42424062,-82.23855912
Louisiana,US,2020-04-29 02:32:29,1497,100,0,32.57991587,-93.88375652
Oklahoma,US,2020-04-29 02:32:29,61,7,0,35.17364557,-98.37534464
California,US,2020-04-29 02:32:29,13,0,0,38.20537103,-120.552913
Louisiana,US,2020-04-29 02:32:29,377,28,0,30.22931235,-93.35400434
Kentucky,US,2020-04-29 02:32:29,13,0,0,37.14749129,-87.86948214
Louisiana,US,2020-04-29 02:32:29,17,0,0,32.0902519,-92.11752148
Missouri,US,2020-04-29 02:32:29,3,0,0,39.65620858,-93.98308093
North Carolina,US,2020-04-29 02:32:29,33,0,0,35.95204977,-81.54799522
Texas,US,2020-04-29 02:32:29,11,0,0,29.83668859,-97.61814775
Vermont,US,2020-04-29 02:32:29,13,0,0,44.46548598,-72.10314651
Alabama,US,2020-04-29 02:32:29,92,3,0,33.77483727,-85.82630386
Florida,US,2020-04-29 02:32:29,6,0,0,30.40666734,-85.19394153
Georgia,US,2020-04-29 02:32:29,87,4,0,31.53169785,-84.62725131
Illinois,US,2020-04-29 02:32:29,1,0,0,39.16840183,-90.66330078
Michigan,US,2020-04-29 02:32:29,210,11,0,42.24633834,-85.00493569
Mississippi,US,2020-04-29 02:32:29,50,3,0,33.93683395,-89.33686647
South Carolina,US,2020-04-29 02:32:29,6,1,0,33.66926881,-80.77722168
Texas,US,2020-04-29 02:32:29,30,3,0,28.47048236,-96.61633945
Texas,US,2020-04-29 02:32:29,2,0,0,32.29760619,-99.37326312
Missouri,US,2020-04-29 02:32:29,22,1,0,38.83674754,-91.92186505
Kentucky,US,2020-04-29 02:32:29,31,1,0,36.62093411,-88.2731593
Wisconsin,US,2020-04-29 02:32:29,10,0,0,44.0816316,-88.21780273
Maryland,US,2020-04-29 02:32:29,139,8,0,38.53961642,-76.56820632
Idaho,US,2020-04-29 02:32:29,1,0,0,43.46665742,-114.8065892
Pennsylvania,US,2020-04-29 02:32:29,22,1,0,40.49527404,-78.71377428
Georgia,US,2020-04-29 02:32:29,31,1,0,30.92951916,-81.66601818
Missouri,US,2020-04-29 02:32:29,35,1,0,38.02199522,-92.76083747
New Jersey,US,2020-04-29 02:32:29,3285,124,0,39.80343818,-74.96388753
North Carolina,US,2020-04-29 02:32:29,1,0,0,36.33804939,-76.15568396
Louisiana,US,2020-04-29 02:32:29,3,0,0,29.87592238,-93.19310676
Pennsylvania,US,2020-04-29 02:32:29,1,0,0,41.43625568,-78.20376845
Texas,US,2020-04-29 02:32:29,376,14,0,26.14524221,-97.48140372
Texas,US,2020-04-29 02:32:29,6,0,0,32.97195142,-94.97790104
Kentucky,US,2020-04-29 02:32:29,85,9,0,38.94384345,-84.37875208
Tennessee,US,2020-04-29 02:32:29,14,1,0,36.40355516,-84.1510856
Virginia,US,2020-04-29 02:32:29,11,0,0,37.20553386,-79.09678609
Wyoming,US,2020-04-29 02:32:29,23,0,0,44.24886082,-105.5474404
Oklahoma,US,2020-04-29 02:32:29,96,3,0,35.5426055,-97.98465569
Georgia,US,2020-04-29 02:32:29,7,0,0,32.40209349,-82.07702563
Tennessee,US,2020-04-29 02:32:29,11,0,0,35.80990797,-86.05738983
Idaho,US,2020-04-29 02:32:29,250,6,0,43.61970148,-116.7095499
Missouri,US,2020-04-29 02:32:29,48,1,0,37.38489388,-89.6843587
New Jersey,US,2020-04-29 02:32:29,299,20,0,39.15008829,-74.80170244
Montana,US,2020-04-29 02:32:29,6,0,0,45.22850116,-109.0274047
Pennsylvania,US,2020-04-29 02:32:29,169,13,0,40.91545395,-75.7068525
Wyoming,US,2020-04-29 02:32:29,4,0,0,41.69357844,-106.9326084
Idaho,US,2020-04-29 02:32:29,1,0,0,42.77149116,-111.5597683
Kentucky,US,2020-04-29 02:32:29,2,0,0,36.85372876,-88.9669222
Minnesota,US,2020-04-29 02:32:29,53,0,0,46.59180601,-92.67601019
